Epoch,Training Loss,Validation Loss
1,0.6219969003677368,0.14414928138256072
2,0.07109720672070981,0.01792324748635292
3,0.023738566313683988,0.012034159943461417
4,0.014032412600517272,0.004937068041414023
5,0.012222240461409092,0.004494793724268675
6,0.009703253490477801,0.0035191919133067133
7,0.02005894497707486,0.0029526859764009714
8,0.00848473302423954,0.0018666401086375117
9,0.012060371306538581,0.03262956457212567
10,0.03376879589706659,0.0054413478560745715
11,0.014423699316382408,0.0029299846636131406
12,0.008338967787474394,0.0015803317283280193
13,0.008254643808677792,0.0015382184889167548
14,0.008083868218399584,0.0014737824900075793
15,0.006745084582641721,0.001333708170801401
16,0.008450491143018008,0.0011840921146795153
17,0.006611710289679468,0.001326809473335743
18,0.006667494268715382,0.0017611058335751295
19,0.006965943352691829,0.0014193241018801927
20,0.006832832247391343,0.0013735754992812872
